X,Y,Location_notes,Encounter_type,Date_of_observation,Comments,Review_status
-79.69819122,43.42273716,Lees Lane at Summerlea St,Encounter,12/14/2014,,Complete
-79.69107174,43.50003834,Rock Point Pond,Encounter,12/13/2014,,Complete
-79.70016039,43.41190963,Woodhaven Park,Encounter,12/15/2014,,Complete
-79.75498985,43.42702297,Grand Oak Trail at UMR,Encounter,12/15/2014,,Complete
-79.69670638,43.41080487,Viewbank Cres,Encounter,12/15/2014,,Complete
-79.69532278,43.42405214,Winston Rd and Scott Ave,Encounter,12/14/2014,,Complete
-79.69098836,43.49381016,Bayshire Woods Park,Encounter,12/15/2014,,Complete
-79.71182221,43.41817663,Trudale Court,Encounter,12/16/2014,,Complete
-79.70424894,43.41090355,Willowdown Rd,Encounter,12/15/2014,,Complete
-79.74938399,43.43133008,"Reeves Gate and UMR W,",Encounter,12/16/2014,,Complete
-79.69676348,43.40851263,Warland between Westminster and Walby,Encounter,11/17/2014,,Complete
-79.71968325,43.43455587,Berkshire Court (in woods behind),Encounter,12/18/2014,,Complete
-79.66779976,43.45865612,Post Park,Encounter,12/18/2014,,Complete
-79.67226396,43.45683892,Macdonald Rd and Watson Ave,Encounter,12/18/2014,,Complete
-79.67578041,43.43643982,Brookfield Rd and Lakwood Dr,Encounter,12/20/2014,,Complete
-79.72504661,43.42919166,Indian Ridge Trail at Fieldstone Cr,Encounter,12/21/2014,,Complete
-79.69044027,43.4257095,Rebecca St and Fourth Line,Encounter,12/21/2014,,Complete
-79.67846187,43.43101638,Shorewood Promenade,Encounter,12/21/2014,,Complete
-79.73060086,43.43397136,Glen Abbey Trail west of Cottonwood Cr,Encounter,12/28/2014,,Complete
-79.74423361,43.42424312,Fourteen Mile Creek Lands,Encounter,12/30/2014,,Complete
-79.70676054,43.45918354,Oakdale Park,Encounter,12/21/2014,,Complete
-79.70020186,43.41073371,Walby Dr and Hixon St,Encounter,1/2/2015,,Complete
-79.76601482,43.42382561,Fourteen Mile Creek Trail behind Rochester Circle,Encounter,1/2/2015,,Complete
-79.67477846,43.43568046,32 Broofield Rd,Encounter,1/6/2015,,Complete
-79.67360028,43.43706021,Brock Parkette,Encounter,1/5/2015,,Complete
-79.73403442,43.44675553,UPM and Fourth Line,Encounter,12/27/2014,,Complete
-79.74292398,43.4269252,1344 Tinsmith Lane (trail beside),Encounter,1/10/2015,,Complete
-79.65929921,43.45120518,Carson Lane and Park Ave,Encounter,1/12/2015,,Complete
-79.66550698,43.45244194,Watson and Sumner,Encounter,1/12/2015,,Complete
-79.6617138,43.45812219,Elton Park Rd and Radley Rd,Encounter,1/11/2015,,Complete
-79.6933245,43.43040787,Glen Oak Drive and Oriole,Encounter,1/13/2015,,Complete
-79.6907862,43.41631462,1218 Lakeshore Road W,Encounter,1/11/2015,,Complete
-79.74525521,43.45092722,1299 Waubanoka Way,Encounter,1/15/2015,,Complete
-79.70069873,43.42471644,Lees Lane,Encounter,1/14/2015,,Complete
-79.7775272,43.43782264,Old Bronte Road,Encounter,1/17/2015,,Complete
-79.75789385,43.42298453,UPM and Bronte Rd.,Encounter,1/17/2015,,Complete
-79.72827776,43.38636086,Nautical Park,Encounter,1/19/2015,,Complete
-79.67871833,43.45578421,Cornwall Rd and Reynolds St,Encounter,1/18/2015,,Complete
-79.72828684,43.38630346,Nautical Park,Encounter,1/19/2015,,Complete
-79.70583608,43.44969424,1150 Dorval Dr,Encounter,1/21/2015,,Complete
-79.69470064,43.49581789,1384 Clearwater Cr,Encounter,1/22/2015,,Complete
-79.75199354,43.44230212,2239 Stillmeadow,Encounter,1/24/2015,,Complete
-79.74516538,43.45112771,1299 Waubanoka Way,Encounter,1/25/2015,,Complete
-79.69764642,43.42536884,Shaw St,Encounter,1/26/2015,,Complete
-79.71460695,43.39211557,12 Mile Creek and Lakshore,Encounter,1/23/2015,,Complete
-79.70338913,43.41970099,1306 Tansley Dr,Encounter,1/27/2015,,Complete
-79.70238371,43.41883208,378 Sandhurst Dr,Encounter,1/27/2015,,Complete
-79.73061334,43.43390218,1272 Mapleridge,Encounter,1/30/2015,,Complete
-79.71070401,43.39017479,West River St and Bronte Harbour,Encounter,1/30/2015,,Complete
-79.68777547,43.4187769,1153 Westdale Rd,Encounter,1/31/2015,,Complete
