"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-19","52","62","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-20","57","58","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-21","58","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-22","60","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-23","51","59","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-24","53","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-25","51","57","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-26","53","62","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-27","58","72","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-28","60","77","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-29","63","81","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-30","64","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-03-31","61","64","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-01","56","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-02","57","63","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-03","55","65","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-04","56","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-05","57","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-06","60","64","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-07","62","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-08","58","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-09","58","75","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-10","63","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-11","56","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-12","54","63","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-13","55","66","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-14","58","71","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-15","58","64","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-04-16","52","57","48"
